goos: linux
goarch: amd64
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
BenchmarkStringsRef-16         	    4780	    241902 ns/op	  160101 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4618	    242098 ns/op	  160104 B/op	   10004 allocs/op
BenchmarkStringsClosures-16    	     667	   1783652 ns/op	  480762 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     666	   1729535 ns/op	  480761 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     691	   1718065 ns/op	  480736 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     694	   1750847 ns/op	  480733 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     691	   1730017 ns/op	  480738 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     693	   1744746 ns/op	  480731 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     693	   1744686 ns/op	  480734 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     694	   1730869 ns/op	  480734 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     702	   1734625 ns/op	  480725 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     673	   1748987 ns/op	  480756 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     664	   1731040 ns/op	  480764 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     692	   1742723 ns/op	  480737 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     660	   1737144 ns/op	  480768 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     686	   1753099 ns/op	  480741 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     670	   1724408 ns/op	  480758 B/op	   10031 allocs/op
BenchmarkStringsClosures-16    	     697	   1719785 ns/op	  480730 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     687	   1773108 ns/op	  480741 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     692	   1726611 ns/op	  480736 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     692	   1714232 ns/op	  480738 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     693	   1751052 ns/op	  480734 B/op	   10030 allocs/op
BenchmarkStringsClosures-16    	     691	   1742088 ns/op	  480737 B/op	   10030 allocs/op
